booking_uuid,auction_corridor_min_price,auction_corridor_max_price,auction_winning_price
88c406e5-8c44-478b-bbf2-2aeb2efc4b1d,93.86,112.23,93.86
bc720b39-8233-42ec-9332-64e6c12244fd,61.39,80.89,61.39
ecd986a3-10ae-4af5-8738-874539b4a4d3,77.08,100.13,92.00
2af302a8-14b6-4f17-b3c1-630a5199fe93,91.98,108.28,91.98
2d744677-6e2d-422b-a500-597ba25f69ee,59.41,73.30,59.41
36d886b0-921c-4afc-86b5-ac1624fc452d,53.02,60.95,55.66
3b83837d-426c-42f7-bc2b-3a9471ad1ee4,51.09,63.96,83.34
3d08716a-f689-4a46-b012-fd6cf712eb9b,91.97,108.55,91.97
a04cd4e9-ce22-4139-9eda-446d8dd01e45,46.26,49.42,46.61
dd8d1a9d-9a09-4b51-8736-562b9a9e82ac,361.81,569.81,427.12
ebcef9c2-8c6f-47ef-97ba-63ab3a554905,55.68,74.24,48.50
0652a0aa-f17b-47ba-9f2c-3e9432a1c7fc,141.41,160.47,222.00
2cf9f197-23d5-4fa8-88a2-a7c1bed29910,96.50,117.94,96.50
6d48d1a0-fb0e-4fd5-b05b-52adde3f35d4,60.29,66.32,62.30
87a285f6-fbae-49e7-8e67-01da2159b4fb,60.76,72.76,115.01
004b8176-af08-4556-ab53-106d38a0af9d,146.80,178.05,150.27
023e070e-9da8-4e11-a498-7f04250e2f8a,76.02,105.75,87.00
364de144-fb00-4e05-a649-dca51d9a4547,82.98,96.72,82.98
266abf3e-806e-41ae-a1c6-a7ea213fca07,95.73,99.00,95.73
55d0de39-b2cb-4843-9744-07cea9d72af1,35.65,45.82,40.00
65d532ca-1d67-4ad6-9fd4-fd978fabf9c3,141.71,173.79,141.71
6883b364-b7ad-47b7-9ac9-f377f98ad974,177.01,205.67,177.01
6a3c3b6b-9518-4294-bb49-b7f07f874ce7,92.52,109.16,95.00
7b4d01a8-6e9c-43d2-95c4-6d60adc87b1e,70.79,85.98,90.25
7b6a1eba-f21f-47ab-8006-b21d7beb36ed,77.51,102.38,103.25
a64ae2cd-9777-4be6-acfe-f544407fd458,54.57,67.35,79.00
0b62305d-9051-45e9-84a2-cd7eba6a2142,77.26,94.83,77.26
326aa291-e958-43ef-bb7d-712959e63810,61.84,70.55,110.00
9bc77aa2-dc04-4b0b-96e5-6d51cb2ff487,128.81,221.44,220.00
adf9cf95-19a5-4108-8d30-60a78a3ef53d,54.89,66.44,63.30
c528821d-6e50-43d8-9e7a-0f59e8fcf336,114.69,137.54,129.87
ce4e31bf-cb28-4d8f-baa0-b6b893199713,121.04,149.90,139.21
d9a95caa-ee34-4e8d-bd5b-7e3581e85b12,95.91,111.86,152.91
8a845cab-4f8f-4a33-b4e1-a1006984da7d,46.25,54.30,54.26
8c7307a9-0e59-4311-990d-9f826361ac7b,75.57,89.64,112.79
a1835cb5-f92b-475b-b564-0b62231cdd07,92.69,113.40,97.29
b5e26873-420b-4bcd-9650-5bbf2ca350d0,206.20,282.76,206.20
4965ee0b-9092-44f8-a16e-c82a37eeff5c,69.71,86.26,86.18
53e105ad-cbd2-4984-a12f-bf7d48f83ad4,63.91,84.46,80.00
57ef2f95-eea4-42c1-8d1d-8eb41a3c8c51,105.46,119.94,107.06
6bad686d-4a90-4018-b890-ec104d6670ee,71.80,84.53,71.80
175b35d8-46e6-4dc7-8d51-6d6cbe2432c5,107.81,118.35,107.81
2130c928-8a90-4ce7-a0ef-1f0d0824bf56,277.78,351.85,302.47
2ce84c11-f3e9-4945-a792-316c3f8d82c7,46.87,59.03,56.32
4624cde5-502b-4fe0-a7a2-abb650cb4bf8,75.34,86.96,70.00
49abda45-df0b-4ed3-aced-3c019a6c6e63,54.69,71.71,63.09
53c634d7-904d-41b8-90e4-9889484036f1,74.11,103.29,87.00
7ad86a90-0e67-481f-b46e-b4b918fddb6a,127.91,160.45,145.96
7ded53a3-3db9-4d5f-97a4-396ccca73722,58.28,71.65,58.28
82dc8f7b-bef9-483c-bbe2-593d2671d7f8,83.40,104.51,105.63
8f356156-2d0a-4306-b501-c1778f751f62,82.18,88.93,82.18
acbc2fe1-0a56-4df9-8883-2450e27c9add,65.51,82.55,77.76
00156353-9c73-4147-b77c-833208e025cb,"1,142.05","1,397.13","1,282.68"
35b3714c-0a4e-430a-9996-6a23190f81b5,120.34,146.41,136.06
52c1790c-4555-4106-bbc0-e678e5e36c05,80.11,115.74,130.92
649f917c-36a5-43da-9ba6-22cdd6f6b709,59.37,68.57,75.00
98ddcc81-afdb-4989-887c-faf7921a794e,87.95,148.87,94.71
b5d9d60f-2db2-4a42-885e-b696c73529ab,129.81,180.77,129.81
c7a60424-b351-4d68-8dad-fba179365cff,67.63,72.57,84.26
dcf1607d-257d-4bdc-aec5-ab3997c606ca,55.19,72.71,60.00
09c96b62-a145-4ead-8c5f-601fc0de28e4,59.76,79.40,75.02
363ce231-7fa6-49f1-a544-8ecc74ae5b3d,69.07,92.09,69.07
b0898687-b584-4354-a630-5a297c77ff95,62.06,74.84,79.00
c8e55f70-48c1-461f-b53e-6e664161c441,67.62,67.62,67.62
6754964a-d2e5-4b01-8c91-9fa76c1e8b1b,76.39,160.39,130.00
7b0f733e-0dc1-4033-857e-c86202e53f83,200.93,234.38,274.02
7fa9a24c-2bfa-477d-af44-dfd141bea0ac,54.74,91.31,83.16
81d27fc7-8ecf-432f-a3d6-b481181b5202,64.76,77.21,64.76
acbf6b7f-d6d3-463d-8e12-0a353d418cb2,102.86,121.01,102.86
6148b357-8b54-4f12-b059-009201441492,73.00,86.39,73.00
65d75df7-6aa5-441b-b146-428343bda84d,94.89,124.70,94.89
82b1bcd1-2bcf-4bb4-8b06-35decb6ae9fa,46.44,56.76,56.70
a22f57f1-f709-4537-a69a-2ccdca1f8eec,118.29,142.16,118.29
af4a8c99-58d0-4f20-a2d6-50ede89e05b3,88.28,98.40,88.28
b740e4db-55a9-4d8a-b332-7f21ec60d0b9,108.44,135.80,135.00
b75f77b6-92a3-4bd3-bab4-7ea7cbccefc4,95.00,116.11,95.00
b7fb6683-82ab-497d-b2b1-46e661584331,453.77,654.37,632.97
b8c76575-5fb8-497f-b611-3e8a86c8dda7,96.25,126.12,112.10
c52a722c-2cae-4c10-8764-e3267d4846f2,75.15,97.38,75.15
d5145b97-8319-4977-9332-c66f9a8bf74b,61.50,90.49,61.50
d715d382-3258-4fa7-8fae-80a18fca0914,144.69,171.11,186.67
fbd9a6e7-fd9c-403a-bfce-424df5085415,77.42,120.25,77.42
0473db6d-17b0-489b-afb3-02ad902378af,209.91,293.82,318.79
0f6b6c64-0c97-4654-8dfb-f77cf17e2b01,49.54,63.90,57.40
178395ee-8174-460e-a255-25d0d4675916,89.21,98.57,89.21
025f8b20-776e-41da-be33-e01e2ded773e,92.48,112.22,84.00
19d70988-f468-449e-9991-33f85f19d7f1,50.00,60.00,59.99
268301ed-169f-46a2-aa04-dc82c981bae3,336.10,498.41,336.10
2926df15-8e91-48fa-90cc-7bf5508ac8bf,91.53,102.27,97.75
30f3030b-a26a-4449-9e68-fdd9946ec24e,51.09,63.96,82.00
5092f1cd-cc05-4a4c-933b-1929fd6e66dc,50.00,60.00,53.33
53e6fb32-5193-4f2b-a9ea-a3aecb51a42c,91.61,101.85,91.61
58c0303a-ef7c-4071-908d-97640647fd70,77.47,99.33,77.47
8ffeb991-035b-41eb-8279-3b4b61705ae8,73.51,89.07,88.99
955d2fc1-ba98-4fae-af26-f6945e0f0eb8,94.72,113.52,100.00
973f0d68-33c0-40b3-9a30-d6536fda5a7f,77.48,95.17,90.00
9ec40d79-5ba3-48e7-a512-802615d7edcd,37.03,52.80,50.00
a9d3ca57-f1c3-4087-9e1d-a9504fcda805,106.97,145.40,106.97
e955aefc-390b-4293-9aef-4fac8e485d79,68.00,100.00,80.00
1a6c905f-c337-428d-9a8a-cd97de4cb254,90.22,107.18,112.31
240e40ea-ee8f-44ae-935b-09df25c98c65,63.48,77.58,63.48
49310671-37ff-46e7-8da8-3052dd535553,83.81,111.74,83.81
4f6ba6db-7f9e-42d6-ba7a-3e5c1301b64f,101.03,117.32,160.47
c91bd76c-c0d3-4d90-822c-e2380ed7882e,67.47,72.33,84.06
dbc218b6-928b-4792-b961-a6c1fdb27703,120.14,142.05,129.00
ddd7edcf-4908-4950-ac7e-2ec00efc20da,90.10,102.03,90.10
e06cfb65-3da9-4ddc-b73e-88bd43060cf1,80.46,123.37,99.16
f444c867-61a1-4cee-b287-c817c187ce35,145.91,204.46,145.91
f99d4318-dcae-410a-be56-393fa270af79,181.72,229.86,181.72
09f93e70-271e-4704-9f18-052a5bf97780,149.57,189.02,153.95
0bfb0999-7d61-4a9a-b187-ed93a2c40cbe,77.70,95.49,77.70
1a4ed1fe-ecf0-452a-91f1-3c970bfa6eba,79.86,98.00,79.86
1e82fc0a-2661-4dee-9c49-96e4853d91dc,76.96,98.59,87.00
2d1aa6b1-c5f7-4c60-8996-f321c8aa8f37,64.46,83.10,64.46
3226a4f5-aaf4-4203-b931-66b78789a754,62.46,81.47,81.09
43a0469e-e5a1-4760-9be8-97d9a6945d6f,28.12,36.85,32.00
6bdde1dd-1bcd-49b4-8c98-2eb84699c943,79.36,103.55,79.36
191cd4c3-8b20-44f2-ac19-827aa037dcfb,838.32,979.57,838.32
2115a9ef-be88-470f-b2d0-60d0011bcb96,67.63,72.56,84.25
28e59d84-723b-4356-a255-e7890325a86f,79.56,103.73,92.00
7ade7497-75a8-466d-9ff9-00ae3ce38bb8,92.74,111.88,92.74
822dfe42-af3d-4c0a-9ea0-80888fd0dbfc,126.27,217.17,210.00
8b5b44c8-c6b5-47b9-be6e-03a19749ef28,87.12,112.74,96.49
dda694b2-b22d-46d0-9401-9fb683582871,103.27,121.52,182.01
007e8d85-6bb7-4683-8d23-fd6613d41996,77.20,94.75,77.20
01289542-d526-4398-ac6f-63e9790bbf6f,101.48,154.04,101.48
1682887e-c7d6-491c-a6c2-893be2dcf270,137.97,158.45,137.97
2744f4c5-36d3-46dc-85e0-3637844bb921,71.14,129.97,129.97
0ba77105-1562-4da2-826a-ba5c38a93472,66.80,86.48,66.80
27a1e07a-c9a5-4e13-97e7-4597bb00df38,72.56,98.81,93.03
96f98b82-2f46-47ef-9e1d-6a9acfd031c4,65.47,84.56,84.56
c39c8011-c70b-4855-8856-d1bd78b8496f,220.29,239.45,220.29
e36e974b-f210-4bc8-936b-b71d53beea2b,57.21,66.11,57.21
e6c1ff4b-7278-42b3-ae26-c2f4fb8290b6,71.01,82.91,71.01
1d6dd94c-d2c3-4e21-a051-c2d35646ec65,87.20,101.14,110.00
275753ea-de8d-4bfc-b4d9-02988901b0de,66.82,86.19,66.82
36e3bec8-a95a-4703-885d-dce4fb9cac59,124.74,152.59,141.00
47036c7a-a64f-422a-80c6-38faf30c0b7c,67.16,80.66,100.97
77998821-c056-4ca5-9395-353950adec0f,73.76,88.48,83.46
8519357b-159e-4069-9c91-67bcc2248d8e,89.89,101.78,89.89
8e13cc21-752c-4fcc-adbd-80673b6ad9a6,98.98,119.86,120.46
8ecad22c-ca68-4e1f-b343-4ae6601c9c2c,55.12,68.05,77.90
9b4a997c-889f-49e8-bd96-5435e70e9d75,19.29,26.75,19.29
0002941c-ce81-4fb8-8918-1ef6cf9714e7,60.43,81.95,81.94
0453752a-b557-4e9c-ba15-263eb13468ce,120.00,140.00,140.00
17ac47c7-1f9d-41bf-b561-4379fef511c0,"1,146.59","1,402.81","1,146.59"
226109cf-0a97-4067-ad7f-35fe8ae09fc2,146.80,178.05,146.80
13d2e5e7-28bc-4906-b37b-f7de7ad2b09c,71.07,84.83,71.07
2ca84914-31c2-4bd9-ba0b-d5dea1420f81,99.22,120.72,99.22
6392caad-42c9-46b5-88ec-47508a0317bd,51.09,63.96,84.97
30277239-9c91-443e-9efe-a5afda929a37,42.19,67.50,44.50
374700e9-ef80-495b-bac3-750d4af76e85,107.33,122.12,107.33
84bea6b0-ad7d-4d09-8362-166771e3e73f,102.86,121.01,102.86
b6600253-2342-4d3f-9925-fff55caeb5d0,74.99,89.02,74.99
d910aba6-c786-4666-92e2-c357719d8ccb,75.13,91.83,87.30
ca68953e-99d4-4f26-ba57-73478313d379,64.76,77.21,64.76
d16e11ce-f75c-49fc-a15c-289aa7b37b87,46.96,68.82,66.32
ed13f3f0-7120-4468-84c9-ad96aa6d6bdd,122.96,144.19,122.96
1d04878c-1f58-4438-a892-2a37f4835e08,156.33,205.94,156.33
5ed10691-008d-467f-b0b9-e8ed05c5ee0f,101.96,118.25,116.44
0003de40-6b6b-4126-a9e4-3156a6590748,62.17,70.97,76.05
04316a54-1c6c-4a96-987d-9c5d93d7980c,67.39,89.86,108.00
1184f7a5-3c5d-4e10-ada2-2099bc843454,84.22,98.89,84.22
21eda10c-da86-4b30-9ce6-e2cab69e2110,43.96,55.31,52.78
2b6f282d-ecc4-4be8-bcef-2fc569669fab,99.29,172.11,172.11
2f5c1e7c-0a2c-4a3a-92c7-18d18d5c78bd,109.79,134.39,109.79
b52a9092-9a52-4226-86d4-2fca154d32c0,93.40,119.04,112.00
b85648e7-2055-4b78-9aef-dc56052a5490,61.37,76.27,61.37
cb96e20e-f7be-42be-a216-4e6eb7bb417e,109.35,129.57,127.27
cc4a102b-c4d7-4f90-b796-0ca11e458bd6,100.88,119.16,100.88
f390293b-c7af-4ff1-9302-ba2e561e6819,75.83,93.10,75.83
917f5c20-12ba-40de-b0f0-2ed30a20453c,119.30,206.79,206.78
957bc365-51d4-434e-b59b-df9057175530,60.37,72.37,60.37
964ee459-6dbf-497f-a9d7-ac1347c94799,69.06,92.08,69.06
ad1008d3-f735-4fde-b736-aa303915abd1,79.58,102.83,97.29
b8253797-bed4-49fd-b375-69c22bbe1842,69.62,88.78,69.62
b8261696-b9f0-4bd4-8b08-8533835c125e,43.87,68.94,43.87
