booking_uuid,booker_uuid,chauffeur_uuid,booked_start_at,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,booked_duration,booked_distance,gross_revenue_eur
0e23bd79-0050-4b26-ba27-d6ff2dd1a687,56aa5129-4310-5b0e-a925-aa5cc5674dde,53fe77b1-fde8-5c62-89af-bbe6b384e330,2024-10-12 16:15:00,2.5838,49.0045,2.3003,48.8733,2341,35272,125.00
0f07c17e-f525-43cb-9bda-48616aee04ba,847fd8cd-1aec-5951-980c-1cfc65f1db49,53cff1e7-ede6-5bf2-959a-cee3fdf6510a,2024-10-12 9:30:00,-0.1723,51.5139,-0.1619,51.1568,4667,62533,299.91
10bf2b0d-d28c-4e27-bd76-cc9a4802b195,35ac6be5-4430-574f-9319-eb9f79805427,bd214b15-de1a-5eb8-83ef-6be0d0770f99,2024-10-12 20:40:00,-122.3016,47.4435,-122.1579,47.5327,1473,21378,152.87
1ffd9869-25d6-49d0-81a4-0115012e9e5a,fc240214-5a3a-5fee-be1b-c93e334b0cfb,b64d1644-9ce9-5031-a4ae-bfabf17f3476,2024-10-12 8:30:00,11.8478,47.3395,11.7869,48.3549,7749,162566,270.16
072b6d79-0084-4bb4-9e69-f86e75c825dc,35ac6be5-4430-574f-9319-eb9f79805427,e5e40349-7127-5edf-a406-58e4fe48a320,2024-10-12 18:40:00,-73.7861,40.6452,-73.5070,41.2873,5085,99066,198.74
13f097a5-3092-4bae-a991-e52a97845a65,7bcea4ed-bf11-5805-94f7-5ed499343061,3c2a6428-7da0-57ad-bebc-a9a12d95876a,2024-10-12 10:25:00,113.9365,22.3161,114.1889,22.3012,1984,36111,98.06
173490f0-8a8a-42af-98a4-8b4e99e91dd3,1bb3cb18-891c-5708-9058-b793b2556e6f,f9d65351-8ad8-56f6-b860-dd6ca2928480,2024-10-12 9:50:00,77.0862,28.5556,77.3109,28.6581,3640,30177,33.99
308412c3-2f32-433f-88d3-dbca5bbfaad3,d15be558-53e2-57b9-9527-99fa0e42b3de,f256e4e6-0087-5868-8fab-0da0b8e175fe,2024-10-12 10:45:00,-74.2303,40.7036,-72.4053,40.8697,8319,183104,419.24
324a59d1-6461-44df-b06b-a3b047f25c8c,a3cddb83-61c6-56a0-bbb0-e6135e058e75,f7e00d37-1fe8-50ef-bc82-28db4d6f8fe3,2024-10-12 14:20:00,-0.4542,51.4716,-0.0676,51.5257,4214,32095,153.85
3578105c-1946-42e3-8bc1-358f01fe93df,c6fe7bc6-6af4-547f-9b4b-0580aa57a9e5,7b6be94c-70d5-56c9-ad9e-51847065bb29,2024-10-12 5:15:00,46.7006,24.9581,46.7118,24.7871,1144,23647,49.46
3d24df16-92b2-4e28-8780-35248dda5b49,476cbbb8-b082-55cb-b2f2-720ff1239669,bf37e310-7b7d-5079-b20d-926ab615a2d6,2024-10-12 0:06:00,-95.3415,29.9862,-95.6351,29.5842,2908,67376,143.87
3dc6c090-bd13-4ace-8ec1-48dcdd5f86a7,27bc91d8-ea68-5300-87e7-1dc338143298,7549e159-b5d6-5d61-acd3-0dbd9393b078,2024-10-12 15:00:00,0.2698,50.8212,-0.4542,51.4716,6215,139406,401.85
3e2fcf68-e07c-4c7c-b621-fb4cde5e9f8c,c2f8e971-3cfc-5e43-b031-47aaea82654d,cc96bafc-14ec-5929-99c7-22729b968c6f,2024-10-12 10:55:00,13.5084,52.3638,13.3259,52.5084,1826,30409,105.76
4b8865ef-dabb-4cc5-9531-d070360d80bd,35ac6be5-4430-574f-9319-eb9f79805427,c10ee50e-0838-58fc-a8ef-d20de2c52258,2024-10-12 21:35:00,-118.4081,33.9435,-118.3732,34.0954,2498,24443,131.28
4fd559f1-2f57-4690-acaf-4c058319e4ae,0b3a6f59-9695-5705-b2e4-d01b9cc302cb,e83ff5e5-a250-5b0e-bddd-881ff424cb18,2024-10-12 9:20:00,55.3554,25.2461,55.2716,25.1957,1013,14905,62.17
6090c515-6d76-4b39-a7ba-34f641e8c920,67a644a0-eb1f-5422-ba01-1bac85b2d2d9,9879501c-934b-5d82-b980-730f1df19b01,2024-10-12 16:17:00,-118.4091,33.9438,-118.3358,33.9967,1546,12362,137.72
61a68c86-7434-4662-966c-358259b5ebf3,35ac6be5-4430-574f-9319-eb9f79805427,fe5de733-ecaa-5388-9d3e-e77e6b61a26a,2024-10-12 23:10:00,-73.7861,40.6452,-73.9760,40.7653,3362,29509,189.54
fb1f9ebf-43d9-4d23-8eaa-39cb3012228c,47c1e1db-264b-52ec-8cf8-14b10de1eaad,7f7edcee-a9cf-598e-a4c4-6867c2588a1c,2024-10-12 10:00:00,103.8982,1.3129,103.9901,1.3611,1119,14326,44.62
027d451c-54d7-466b-9547-cb4d1028b188,1bb3cb18-891c-5708-9058-b793b2556e6f,c57fcbdc-15d2-59a8-a95b-6345d3e52d58,2024-10-12 18:30:00,72.9399,19.1627,72.8744,19.0996,2829,13879,35.93
0598db12-b602-49e8-83a3-a0b4efa8dadb,4875f6ed-cd36-5056-95cc-552f51e9e193,887cc641-c808-51f6-9354-4c71bbe4e6b5,2024-10-12 15:30:00,-79.4561,43.9049,-79.6113,43.6814,1877,36094,103.19
0d24ae1c-7864-4168-95ee-9a61f62b5e5b,a5d11e70-1519-547f-abd5-3b8981aab760,102b58f4-b34c-5eff-a0a4-5abc7cb2c28b,2024-10-12 1:52:00,-71.0201,42.3695,-70.5976,41.5445,5338,122159,265.71
0ee7e186-2ea3-4093-971f-90fe0b85f6bb,47c1e1db-264b-52ec-8cf8-14b10de1eaad,9e8eee27-51dd-512c-a45a-5cee92ca823a,2024-10-12 11:50:00,103.8040,1.3134,103.9901,1.3611,1457,26444,44.62
10d3c93e-f726-4abc-a65d-3de58c5bf59b,35ac6be5-4430-574f-9319-eb9f79805427,3fba079b-7dad-5bd3-a3ed-e0347c75949a,2024-10-12 14:25:00,-80.2871,25.7959,-80.1274,25.7994,1676,23526,166.68
185f89be-8ce0-46d4-8cf5-299d6ee2bd3a,3a26ecd1-18e2-5977-beac-111beaddfdfc,34de400c-fc3b-5798-8269-f8c52979d14b,2024-10-12 16:33:00,-117.1897,32.7332,-117.2508,32.8842,1311,21595,117.83
1ae5f7c8-1aa7-4896-8915-b3c4c17cbe2c,4e1c52e3-c767-5eae-b44d-d7ed3c55a826,6559e336-db34-5e6e-b4b4-508faa89b060,2024-10-12 5:00:00,4.4215,51.2193,4.7683,52.3105,6787,160698,329.91
222275a1-a5a5-41f2-bcac-df8aa926b267,4f076057-3143-5b0a-8059-39f45cc5bfbf,d7e350a1-41bf-51a1-b214-89e7266883a1,2024-10-12 5:15:00,4.8575,52.3432,4.7683,52.3105,800,12123,83.05
25c62847-275b-4a80-9b8d-396e29362514,ca36c65e-52df-5bd3-bce0-0829ca6ceb4c,9de9ab20-718a-5f86-9407-e3b93f9ec8a7,2024-10-12 5:30:00,11.0569,43.3180,11.2493,43.7769,4074,67402,272.86
2a822130-639d-46c3-84be-cf1477c6af84,3de83d9d-df64-5d50-8e84-5898efce6472,b74cbf41-fe4f-5825-b307-c5dff82299b5,2024-10-12 18:00:00,-0.4542,51.4716,-0.1172,51.5014,3074,27953,212.32
a4674db1-85e0-44bf-931c-f3a47375d256,47c1e1db-264b-52ec-8cf8-14b10de1eaad,ac273542-81fb-5f5e-9be0-5cd8d2b75b27,2024-10-12 7:20:00,103.9901,1.3611,103.8458,1.2884,1513,20846,44.62
a63110fe-de29-4ea1-8397-f233659306f8,c6fe7bc6-6af4-547f-9b4b-0580aa57a9e5,e2b2c19c-034b-5022-b7e4-0b8b0e3a7f1f,2024-10-12 21:55:00,46.6369,24.7107,46.7006,24.9581,2137,38908,49.46
a751e7c6-33fe-41da-9a2f-2ecba2aabc20,ab56a936-9c63-5213-86b7-6b84d1b357ae,8955f4d5-49b8-5c2d-ac19-ecf48db8978c,2024-10-12 11:30:00,-0.5601,38.2855,-3.5937,40.4915,14544,426337,761.69
aacd1ffd-a9c5-4cf1-93cc-fdcb5c0e207c,330336f8-7661-5760-a0e8-ca548de7d3f0,2adcb0e1-bbd3-5bc5-95cc-f26ad26ac680,2024-10-12 12:48:21,55.2855,25.1911,55.2318,25.0463,1545,22263,38.71
ab1ff59c-acb8-4bbe-9a8c-cade481db9ee,4cb0c5db-5a63-5c29-8770-774e38b784f5,c7f7dc5d-29e0-56df-b9d2-a898e04aa287,2024-10-12 6:40:00,106.7828,-6.2451,106.6543,-6.1266,2609,31571,74.04
ab29c639-b036-477d-9193-c7339025fa81,a89c14dd-2d4f-5b70-9138-f4bf59a069c1,a02032b9-1989-53e5-aeee-506ebfc832e3,2024-10-12 1:30:00,-73.7861,40.6452,-73.6166,41.2561,4281,86492,251.38
b14e8fcf-f0b4-4739-a6d6-6a136d546f01,1bb3cb18-891c-5708-9058-b793b2556e6f,b9ef529d-935e-5865-98ff-10de410d1240,2024-10-12 19:15:00,77.7593,12.9954,77.7095,13.1994,3825,34988,40.09
b610ee63-ee72-477d-ae8c-ed2e43661c0e,dcfc4195-8edb-5f77-ad7e-65ed55da18dd,c9211c08-393c-55bc-bae8-0673e854e96d,2024-10-12 20:40:00,13.5084,52.3638,13.3726,52.5079,2214,25171,97.60
0002941c-ce81-4fb8-8918-1ef6cf9714e7,e37db6dd-7e03-5a6c-b4e0-73b4c00a585f,5c3113d6-8179-5a88-b3b1-31c1dee6ea7a,2024-10-12 19:20:00,6.7659,51.2785,6.8734,51.5160,1769,37007,114.39
0453752a-b557-4e9c-ba15-263eb13468ce,35ac6be5-4430-574f-9319-eb9f79805427,90cda7c9-17cf-5453-b3ca-35d074dfab8a,2024-10-12 21:35:00,-118.4081,33.9435,-118.3553,34.0683,2214,22144,131.28
17ac47c7-1f9d-41bf-b561-4379fef511c0,6c78993d-3537-531c-9fea-eb7c1532c11d,8c6eb2b2-8df7-53ab-9d39-20fcefa81082,2024-10-12 11:15:00,17.9308,59.6511,18.0747,59.3314,2494,42582,143.60
226109cf-0a97-4067-ad7f-35fe8ae09fc2,961a2bd5-9610-5f91-b612-9ec0d3b5b338,7f9f043e-1d5c-553a-9faf-a9cf62ed2347,2024-10-12 9:00:00,24.0270,37.6529,23.7251,37.9826,4374,69518,301.11
2e2c2c6d-7ca7-4d8e-8ba8-57e6619c4f65,1bb3cb18-891c-5708-9058-b793b2556e6f,1b82b5f8-1ee6-5d4c-b09c-5f8456e062fa,2024-10-12 15:30:00,80.1638,12.9818,80.2577,13.0508,2174,16215,36.69
ff77aa74-e8fa-4758-b5ed-28cc803e0906,1bb3cb18-891c-5708-9058-b793b2556e6f,fb32811a-2cf0-5bc3-9e98-60ec696ca38d,2024-10-12 9:15:00,72.8744,19.0996,72.8632,19.1719,1870,11058,35.93
b2c2c3d8-d312-4bdf-8390-2a9004f575bf,d63fddc2-5a51-540c-a0a7-8659212c817e,137e29e5-a172-5c4f-a40d-1788a30efe8a,2024-10-12 18:00:00,-0.1691,51.5015,-0.4542,51.4716,2122,25056,196.75
db48db1c-f496-4dbf-a721-fb3c8043ccc0,aa352a6f-4666-5653-b03a-59973eeea08e,d27baed9-27ff-51a1-a0f4-e0f9723ac4c1,2024-10-12 21:00:00,-105.0042,39.9524,-104.6738,39.8517,1794,44084,232.52
db9b9c9f-1b3a-4f03-874a-b520136eb02d,83d18aa8-d3ba-5f69-add3-670f464fc4b4,a064de66-746e-55f8-96b6-c9d8a4768edb,2024-10-12 10:15:00,140.3929,35.7720,139.7481,35.6590,3912,72826,234.94
e9c0e0cb-df35-4598-9ad7-efc04604f198,5332281b-491d-5b86-9f8b-b4fd3b462cd9,baff0ee6-cbb1-5d3b-8d22-1d7644b5efc6,2024-10-12 21:10:00,4.4835,50.8972,4.4338,51.1999,1730,40616,218.28
ec482a51-5ab7-41ac-84a4-7170f9978637,47c1e1db-264b-52ec-8cf8-14b10de1eaad,3827d806-1d34-57e6-b2ec-025532e3621b,2024-10-12 7:20:00,103.9901,1.3611,103.8284,1.2943,1885,24017,44.62
f0c6a9fb-0e9a-4177-a2ff-7aefa5c4c384,0e93263a-1f5a-5054-959e-b9e08d9b5be7,d2baa0b4-0033-53e7-8766-ca48df39318a,2024-10-12 9:15:00,55.2596,25.2165,55.3554,25.2461,1339,17340,78.17
dafee568-46f6-4f3c-aecd-0bb4b80f7b99,687fa7cd-55f4-5030-8ae6-9257d49fd21f,8f22462c-568f-5f19-9c93-125237cf6f9b,2024-10-12 19:40:00,-118.2453,34.1740,-118.4081,33.9435,2412,46503,155.94
79ad9dfd-fc04-4a0e-8a2e-135d934363bd,1bb3cb18-891c-5708-9058-b793b2556e6f,a48ae2f0-7a11-53bf-abd9-2e8aae4a6444,2024-10-12 21:40:00,80.1638,12.9818,80.2095,13.0820,2350,17217,36.69
79b897fb-badd-4b01-8a4c-e901e3c95a52,1bb3cb18-891c-5708-9058-b793b2556e6f,767cf7dc-db0e-518d-8c1f-fa16c5429ee8,2024-10-12 18:00:00,77.2382,28.5918,77.0862,28.5556,2391,19658,33.99
b5d9d60f-2db2-4a42-885e-b696c73529ab,a6543040-b665-54a2-b892-fea633757d00,dce5a1f8-4cc2-5505-9e02-a8529c0d8674,2024-10-12 9:45:00,-0.4542,51.4716,-1.4052,50.8956,4766,108402,243.12
bd0d13fc-8bd7-4443-8f6e-dc65bb5a94fa,35ac6be5-4430-574f-9319-eb9f79805427,875ac716-93b3-5d9a-8361-b0c7d8923aa5,2024-10-12 21:05:00,-121.9962,37.2353,-122.3816,37.6193,2691,61423,185.11
c7814132-4d88-475f-aebd-8b17fe556147,e80d1c01-60ce-5714-a33d-9ffa9d060128,04396901-3dcd-5afa-9cfc-5cedbd2d7698,2024-10-12 18:00:00,-82.7137,27.7364,-82.5347,27.9822,2020,41919,115.19
c7a60424-b351-4d68-8dad-fba179365cff,35ac6be5-4430-574f-9319-eb9f79805427,aab8b060-5c83-5049-b0db-04f4f7a09f13,2024-10-12 21:05:00,-122.4083,37.7895,-122.3816,37.6193,1418,22756,141.91
dcf1607d-257d-4bdc-aec5-ab3997c606ca,e1bb454b-2fd9-52f6-8fca-f4a5fea22314,ea6cc5be-16f5-5da7-9782-bf331adf9611,2024-10-12 6:00:00,23.9500,37.9349,23.7352,37.9762,2129,32991,122.58
